AAC1,AAC2,AAC3,AAC4,AAC5,AAC6,AAC7,AAC8,AAC9,AAC10,AAC11,AAC12,AAC13,AAC14,AAC15,AAC16,AAC17,AAC18,AAC19,AAC20
0.0,0.0,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0769230769230769,0.0,0.0
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0,0.0666666666666666,0.0
0.0,0.0,0.1875,0.1875,0.0625,0.0625,0.0,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0
0.1538461538461538,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0
0.1538461538461538,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0
0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.2,0.0,0.0,0.0,0.0
0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.0666666666666666,0.1333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666
0.1333333333333333,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.1333333333333333,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.1,0.05,0.1,0.0,0.05,0.0,0.1,0.1,0.1,0.1,0.0,0.05
0.0,0.0,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769
0.2,0.0,0.0666666666666666,0.0,0.0,0.2,0.0,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0
